DATE (UTC),Attributes,Values
,"UI Setting - Cabin Temperature, Right Side",15
,"UI Setting - Cabin Temperature, Left Side",15
,Air Conditioning - On/Off,"ON, 1.0"
,Air Conditioning - Fresh Air Intake Mode,"FRESH_OFF_RECIRC, 1.0"
,Usage Statistics - DAB Radio usage (minutes),0
,Usage Statistics - AM Radio usage (minutes),0
,Air Conditioning - Cabin Blower Manual Mode,"MANUAL, 1.0"
,Air Conditioning - Fresh Air Intake Auto/Manual,"AUTO, 0.0"
,UI Setting - Stopping Mode ,"STOPPING_MODE_HOLD, 2.0"
,UI Setting - Acceleration Mode,"PERFORMANCE, 1.0"
,UI Setting - Range Mode,0
,Usage Statistics - XM Radio usage (minutes),0
,UI Setting - Suspension Lowering Speed,0
,Usage Statistics - FM Radio usage (minutes),0
50:02.3,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:02.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),13.19
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),13.6
50:02.5,Accelerator Pedal Position Sensor B (%),11.19
,Accelerator Pedal Position Sensor A (%),12
,Lateral Acceleration (m/s^2),0
,Longitudinal Acceleration (m/s^2),-0.39
,Vehicle Speed (mph) (Positive is forward direction),40.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.17
,Steering Angle Sensor (degrees) (Positive indicates right turn),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12.4
50:03.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),12
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),11.6
50:03.5,Longitudinal Acceleration (m/s^2),-0.5
,Lateral Acceleration (m/s^2),-0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.32
,Accelerator Pedal Position Sensor A (%),11.19
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),11.6
,Accelerator Pedal Position Sensor B (%),10.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.09
,Vehicle Speed (mph) (Positive is forward direction),39
50:04.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),10.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),11.6
50:04.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.86
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor A (%),6.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),6.8
,Longitudinal Acceleration (m/s^2),-0.95
,Accelerator Pedal Position Sensor B (%),6
,Vehicle Speed (mph) (Positive is forward direction),37.6
50:05.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),6.8
50:05.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),6.8
50:05.5,Accelerator Pedal Position Sensor A (%),4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),4.4
,Lateral Acceleration (m/s^2),-0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.5
,Longitudinal Acceleration (m/s^2),-1.45
,Accelerator Pedal Position Sensor B (%),3.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.47
,Vehicle Speed (mph) (Positive is forward direction),35
50:05.9,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:06.3,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:06.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),7.59
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),7.2
50:06.4,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:06.5,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),8.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),8.8
,Longitudinal Acceleration (m/s^2),-1.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.17
,Accelerator Pedal Position Sensor B (%),8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Vehicle Speed (mph) (Positive is forward direction),31.79
50:06.7,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:07.3,Request - Side Mirror Fold,"IDLE, 0.0"
50:07.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),8.4
50:07.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),8
50:07.5,Longitudinal Acceleration (m/s^2),-0.85
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.97
,Accelerator Pedal Position Sensor A (%),8.4
,Accelerator Pedal Position Sensor B (%),7.59
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.7
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),8.8
,Lateral Acceleration (m/s^2),0.1
,Vehicle Speed (mph) (Positive is forward direction),29.79
50:08.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),8.4
50:08.5,Accelerator Pedal Position Sensor A (%),7.59
,Lateral Acceleration (m/s^2),0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),8
,Longitudinal Acceleration (m/s^2),-0.89
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.53
,Vehicle Speed (mph) (Positive is forward direction),27.85
,Accelerator Pedal Position Sensor B (%),7.2
50:09.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),8
50:09.5,Accelerator Pedal Position Sensor A (%),6.8
,Lateral Acceleration (m/s^2),0.1
,Longitudinal Acceleration (m/s^2),-1.1
,Vehicle Speed (mph) (Positive is forward direction),25.54
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.18
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),7.59
,Accelerator Pedal Position Sensor B (%),6.4
50:10.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),9.6
50:10.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),9.19
50:10.5,Accelerator Pedal Position Sensor A (%),10
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor B (%),9.19
,Vehicle Speed (mph) (Positive is forward direction),23.29
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),10
,Steering Angle Sensor (degrees) (Positive indicates right turn),2.79
,Longitudinal Acceleration (m/s^2),-0.75
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.07
50:10.7,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
50:11.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),11.6
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),11.19
50:11.5,Accelerator Pedal Position Sensor B (%),11.19
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.11
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12
,Vehicle Speed (mph) (Positive is forward direction),22.04
,Longitudinal Acceleration (m/s^2),-0.35
,Steering Angle Sensor (degrees) (Positive indicates right turn),14.59
,Lateral Acceleration (m/s^2),-0.45
,Accelerator Pedal Position Sensor A (%),11.6
50:12.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),12.4
50:12.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),11.6
50:12.5,Vehicle Speed (mph) (Positive is forward direction),21
,Accelerator Pedal Position Sensor B (%),12
,Steering Angle Sensor (degrees) (Positive indicates right turn),40.4
,Lateral Acceleration (m/s^2),-1.5
,Accelerator Pedal Position Sensor A (%),12.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),12.8
,Longitudinal Acceleration (m/s^2),-0.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.13
50:13.3,Brake Pedal Application,"ON, 1.0"
50:13.3,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Driver_applying_brakes, 2.0"
50:13.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),17.2
50:13.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),16.8
50:13.5,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),71.2
,Longitudinal Acceleration (m/s^2),-4.35
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),19.15
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.65
,Lateral Acceleration (m/s^2),-2.14
50:13.7,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:13.8,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:14.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),0
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),0
50:14.5,Steering Angle Sensor (degrees) (Positive indicates right turn),72.09
,Accelerator Pedal Position Sensor B (%),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.06
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),0
,Lateral Acceleration (m/s^2),0.14
,Longitudinal Acceleration (m/s^2),-5.89
,Accelerator Pedal Position Sensor A (%),0
,Vehicle Speed (mph) (Positive is forward direction),5.05
50:14.9,Brake Pedal Application,"OFF, 0.0"
50:15.0,Brake Pedal Manual Application (SNA is recorded when signal is not available),"Not_Applied, 1.0"
50:15.2,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
50:15.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),1.6
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),2.4
50:15.5,Steering Torque Sensor (Nm) (Positive indicates right turn),1.25
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),5.2
,Accelerator Pedal Position Sensor A (%),5.2
,Longitudinal Acceleration (m/s^2),-0.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),72.79
,Vehicle Speed (mph) (Positive is forward direction),0.7
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor B (%),4.4
50:16.4,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:16.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),20.39
50:16.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.39
50:16.5,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:16.5,Accelerator Pedal Position Sensor B (%),22.8
,Lateral Acceleration (m/s^2),-0.2
,Longitudinal Acceleration (m/s^2),2.45
,Accelerator Pedal Position Sensor A (%),22.8
,Vehicle Speed (mph) (Positive is forward direction),3.64
,Steering Torque Sensor (Nm) (Positive indicates right turn),1.43
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),71.4
50:16.9,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:17.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),28
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),27.6
50:17.5,Lateral Acceleration (m/s^2),0.6
,Accelerator Pedal Position Sensor A (%),21.6
,Vehicle Speed (mph) (Positive is forward direction),8.25
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.71
,Accelerator Pedal Position Sensor B (%),21.6
,Longitudinal Acceleration (m/s^2),1.35
,Steering Angle Sensor (degrees) (Positive indicates right turn),11.7
50:17.6,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
50:18.2,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:18.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),25.2
50:18.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-29.09
,Vehicle Speed (mph) (Positive is forward direction),10.65
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20.8
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position Sensor B (%),20.39
,Longitudinal Acceleration (m/s^2),1.54
,Accelerator Pedal Position Sensor A (%),20.8
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.13
50:18.8,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:18.9,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:19.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-19.9
,Vehicle Speed (mph) (Positive is forward direction),12.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24
,Steering Torque Sensor (Nm) (Positive indicates right turn),-2.05
,Lateral Acceleration (m/s^2),0.39
,Longitudinal Acceleration (m/s^2),1.35
,Accelerator Pedal Position Sensor B (%),23.6
,Accelerator Pedal Position Sensor A (%),24
50:20.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),24
50:20.5,Longitudinal Acceleration (m/s^2),1.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),-70.59
,Vehicle Speed (mph) (Positive is forward direction),14.95
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.05
,Lateral Acceleration (m/s^2),1.64
,Accelerator Pedal Position Sensor B (%),22.39
,Accelerator Pedal Position Sensor A (%),22.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),23.2
50:20.6,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
50:21.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.8
50:21.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.8
50:21.5,Vehicle Speed (mph) (Positive is forward direction),16.29
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),21.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),-103.79
,Longitudinal Acceleration (m/s^2),0.29
,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.06
,Accelerator Pedal Position Sensor A (%),20.8
,Lateral Acceleration (m/s^2),2.54
,Accelerator Pedal Position Sensor B (%),20.39
50:21.9,Auto Lane Change State,"ALC_UNAVAILABLE_NO_LANES, 1.0"
50:22.0,Auto Lane Change State,"ALC_AVAILABLE_ONLY_L, 6.0"
50:22.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),20.8
50:22.5,Steering Torque Sensor (Nm) (Positive indicates right turn),-3.02
,Accelerator Pedal Position Sensor A (%),20.8
,Vehicle Speed (mph) (Positive is forward direction),17.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20.8
,Longitudinal Acceleration (m/s^2),0.45
,Steering Angle Sensor (degrees) (Positive indicates right turn),-103.59
,Accelerator Pedal Position Sensor B (%),20.39
,Lateral Acceleration (m/s^2),2.95
50:23.3,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
50:23.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.39
50:23.5,Steering Angle Sensor (degrees) (Positive indicates right turn),-59.4
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),-1.6
,Accelerator Pedal Position Sensor A (%),20
,Accelerator Pedal Position Sensor B (%),19.6
,Longitudinal Acceleration (m/s^2),0.54
,Lateral Acceleration (m/s^2),1.45
,Vehicle Speed (mph) (Positive is forward direction),18.75
50:24.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),20.39
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.8
50:24.5,Accelerator Pedal Position Sensor B (%),20
,Steering Angle Sensor (degrees) (Positive indicates right turn),19.59
,Lateral Acceleration (m/s^2),-0.6
,Longitudinal Acceleration (m/s^2),0.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),2.28
,Vehicle Speed (mph) (Positive is forward direction),20.15
,Accelerator Pedal Position Sensor A (%),20.39
50:25.1,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","UNAVAILABLE, 1.0"
50:25.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22.39
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22.39
50:25.5,Vehicle Speed (mph) (Positive is forward direction),21.79
,Longitudinal Acceleration (m/s^2),0.89
,Steering Torque Sensor (Nm) (Positive indicates right turn),3.23
,Steering Angle Sensor (degrees) (Positive indicates right turn),49.59
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.8
,Accelerator Pedal Position Sensor B (%),22.39
,Accelerator Pedal Position Sensor A (%),22.39
,Lateral Acceleration (m/s^2),-2.04
50:26.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),24.39
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),24.8
50:26.5,Steering Torque Sensor (Nm) (Positive indicates right turn),2.9
,Accelerator Pedal Position Sensor B (%),24
,Lateral Acceleration (m/s^2),-2.7
,Longitudinal Acceleration (m/s^2),1.04
,Steering Angle Sensor (degrees) (Positive indicates right turn),57.7
,Vehicle Speed (mph) (Positive is forward direction),24
,Accelerator Pedal Position Sensor A (%),24
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.39
50:27.2,"Autosteer State (Unavailable is recorded when Autosteer is not available, SNA is recorded when system state is not available)","AVAILABLE, 2.0"
50:27.5,Longitudinal Acceleration (m/s^2),1.35
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),24.8
,Accelerator Pedal Position Sensor B (%),24.8
,Accelerator Pedal Position Sensor A (%),24.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.9
,Vehicle Speed (mph) (Positive is forward direction),26.6
,Steering Angle Sensor (degrees) (Positive indicates right turn),13.2
,Lateral Acceleration (m/s^2),-0.45
50:28.5,Steering Angle Sensor (degrees) (Positive indicates right turn),0.9
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.72
,Accelerator Pedal Position Sensor A (%),22
,Vehicle Speed (mph) (Positive is forward direction),28.9
,Lateral Acceleration (m/s^2),-0.04
,Accelerator Pedal Position Sensor B (%),22
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),22.39
,Longitudinal Acceleration (m/s^2),0.89
50:29.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),22
,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),22
50:29.6,Accelerator Pedal Position Sensor B (%),20.39
,Accelerator Pedal Position Sensor A (%),20.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),1
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.76
,Lateral Acceleration (m/s^2),-0.14
,Longitudinal Acceleration (m/s^2),0.7
,Vehicle Speed (mph) (Positive is forward direction),30.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),21.2
50:29.6,UI Request - Maximum Battery Power,"DRAGSTRIP_OFF, 0.0"
50:29.9,Request - Side Mirror Fold,"PRESENT, 1.0"
50:30.4,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),20.8
50:30.4,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),20.8
50:31.0,Vehicle Speed (mph) (Positive is forward direction),31.79
,Longitudinal Acceleration (m/s^2),0.5
,Accelerator Pedal Position Sensor A (%),19.6
,Lateral Acceleration (m/s^2),0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.46
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20
,Accelerator Pedal Position Sensor B (%),19.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),0.4
50:31.8,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
50:31.8,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),19.6
50:31.8,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),19.2
50:32.0,Steering Angle Sensor (degrees) (Positive indicates right turn),0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.46
,Lateral Acceleration (m/s^2),0
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20
,Vehicle Speed (mph) (Positive is forward direction),32.79
,Accelerator Pedal Position Sensor B (%),19.2
,Accelerator Pedal Position Sensor A (%),19.6
,Longitudinal Acceleration (m/s^2),0.5
50:32.2,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:33.0,Steering Torque Sensor (Nm) (Positive indicates right turn),0
,Steering Angle Sensor (degrees) (Positive indicates right turn),0
,Accelerator Pedal Position Sensor B (%),19.2
,Accelerator Pedal Position Sensor A (%),19.6
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),20
,Vehicle Speed (mph) (Positive is forward direction),33.65
,Longitudinal Acceleration (m/s^2),0.5
,Lateral Acceleration (m/s^2),0.04
50:33.1,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
50:33.6,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:33.8,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),21.2
50:33.8,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),21.2
50:34.0,Vehicle Speed (mph) (Positive is forward direction),34.9
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),21.6
,Accelerator Pedal Position Sensor A (%),21.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.79
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.57
,Longitudinal Acceleration (m/s^2),0.79
,Accelerator Pedal Position Sensor B (%),21.2
50:35.0,Accelerator Pedal Position Sensor B (%),18.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.5
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.34
,Accelerator Pedal Position Sensor A (%),19.2
,Longitudinal Acceleration (m/s^2),0.45
,Vehicle Speed (mph) (Positive is forward direction),36.2
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),19.2
,Lateral Acceleration (m/s^2),0.04
50:35.8,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),19.6
50:35.8,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),19.2
50:36.0,Accelerator Pedal Position Sensor A (%),18.39
,Longitudinal Acceleration (m/s^2),0.29
,Vehicle Speed (mph) (Positive is forward direction),36.79
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),18.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.59
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.17
,Accelerator Pedal Position Sensor B (%),18.39
,Lateral Acceleration (m/s^2),0.1
50:36.7,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
50:36.9,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18.8
,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),18.8
50:37.0,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.09
,Lateral Acceleration (m/s^2),0
,Longitudinal Acceleration (m/s^2),0.35
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.23
,Vehicle Speed (mph) (Positive is forward direction),37.45
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),19.2
,Accelerator Pedal Position Sensor B (%),18.39
,Accelerator Pedal Position Sensor A (%),18.8
50:38.0,Steering Angle Sensor (degrees) (Positive indicates right turn),0.2
,Accelerator Pedal Position Sensor B (%),18.8
,Vehicle Speed (mph) (Positive is forward direction),38.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.3
,Accelerator Pedal Position Sensor A (%),18.8
,Lateral Acceleration (m/s^2),0.04
,Longitudinal Acceleration (m/s^2),0.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),19.2
50:38.1,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:38.5,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
50:39.0,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.12
,Accelerator Pedal Position Sensor A (%),18.8
,Lateral Acceleration (m/s^2),0.1
,Vehicle Speed (mph) (Positive is forward direction),38.9
,Accelerator Pedal Position Sensor B (%),18.8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),19.2
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Longitudinal Acceleration (m/s^2),0.39
50:40.0,Accelerator Pedal Position Sensor B (%),18.39
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),19.2
,Vehicle Speed (mph) (Positive is forward direction),39.59
,Lateral Acceleration (m/s^2),0.04
,Accelerator Pedal Position Sensor A (%),18.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Longitudinal Acceleration (m/s^2),0.39
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.26
50:41.0,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.9
,Accelerator Pedal Position Sensor A (%),14.8
,Accelerator Pedal Position Sensor B (%),14.4
,Vehicle Speed (mph) (Positive is forward direction),40.25
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.71
,Lateral Acceleration (m/s^2),0.1
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),15.19
,Longitudinal Acceleration (m/s^2),0.2
50:41.2,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:41.8,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),18
50:41.9,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),18
50:42.0,Accelerator Pedal Position Sensor A (%),8.8
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.7
,Lateral Acceleration (m/s^2),0.2
,Accelerator Pedal Position Sensor B (%),8
,Vehicle Speed (mph) (Positive is forward direction),39.2
,Steering Torque Sensor (Nm) (Positive indicates right turn),-0.35
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),9.19
,Longitudinal Acceleration (m/s^2),-0.75
50:42.9,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),9.19
50:42.9,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),8.8
50:43.0,Accelerator Pedal Position Sensor B (%),7.59
,Steering Angle Sensor (degrees) (Positive indicates right turn),-0.2
,Vehicle Speed (mph) (Positive is forward direction),37.2
,Accelerator Pedal Position Sensor A (%),8
,Accelerator Pedal Position (%) (102 is recorded when vehicle is off),8.4
,Longitudinal Acceleration (m/s^2),-0.89
,Lateral Acceleration (m/s^2),-0.04
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.27
50:43.2,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_NOT_DETECTED, 2.0"
50:43.8,Accelerator Pedal Position Maximum - Sensor A (%) (max since previous sample),14
50:43.9,Accelerator Pedal Position Maximum - Sensor B (%) (max since previous sample),13.6
50:43.9,Autosteer Driver Hands On Detection,"LC_HANDS_ON_REQD_DETECTED, 1.0"
50:44.0,Steering Angle Sensor (degrees) (Positive indicates right turn),0.7
,Lateral Acceleration (m/s^2),0
,Steering Torque Sensor (Nm) (Positive indicates right turn),0.31
,Accelerator Pedal Position Sensor B (%),14.8
